id_siswa,nama,nrp,id_mapel,score,id_kota
23,James Fletcher,00100000000023,1,4.0,1
23,James Fletcher,00100000000023,2,5.0,1
23,James Fletcher,00100000000023,3,6.0,1
23,James Fletcher,00100000000023,4,4.0,1
23,James Fletcher,00100000000023,5,2.0,1
23,James Fletcher,00100000000023,6,8.0,1
23,James Fletcher,00100000000023,7,4.0,1
24,Ellen Peters,00100000000024,1,4.0,1
24,Ellen Peters,00100000000024,2,6.0,1
24,Ellen Peters,00100000000024,3,3.0,1
24,Ellen Peters,00100000000024,4,3.0,1
24,Ellen Peters,00100000000024,5,6.0,1
24,Ellen Peters,00100000000024,6,5.0,1
24,Ellen Peters,00100000000024,7,6.0,1
25,Donna Daniels,00100000000025,1,4.0,1
25,Donna Daniels,00100000000025,2,2.0,1
25,Donna Daniels,00100000000025,3,11.0,1
25,Donna Daniels,00100000000025,4,8.0,1
25,Donna Daniels,00100000000025,5,3.0,1
25,Donna Daniels,00100000000025,6,4.0,1
25,Donna Daniels,00100000000025,7,2.0,1
26,Charles Lang,00100000000026,1,6.0,1
26,Charles Lang,00100000000026,2,4.0,1
26,Charles Lang,00100000000026,3,2.0,1
26,Charles Lang,00100000000026,4,9.0,1
26,Charles Lang,00100000000026,5,3.0,1
26,Charles Lang,00100000000026,6,6.0,1
26,Charles Lang,00100000000026,7,6.0,1
27,Lindsey Yang,00100000000027,1,5.0,1
27,Lindsey Yang,00100000000027,2,5.0,1
27,Lindsey Yang,00100000000027,3,4.0,1
27,Lindsey Yang,00100000000027,4,2.0,1
27,Lindsey Yang,00100000000027,5,2.0,1
27,Lindsey Yang,00100000000027,6,7.0,1
27,Lindsey Yang,00100000000027,7,4.0,1
28,Glenda Lindsey,00100000000028,1,6.0,1
28,Glenda Lindsey,00100000000028,2,3.0,1
28,Glenda Lindsey,00100000000028,3,6.0,1
28,Glenda Lindsey,00100000000028,4,7.0,1
28,Glenda Lindsey,00100000000028,5,5.0,1
28,Glenda Lindsey,00100000000028,6,6.0,1
28,Glenda Lindsey,00100000000028,7,7.0,1
29,Lawrence Smith,00100000000029,1,4.0,1
29,Lawrence Smith,00100000000029,2,7.0,1
29,Lawrence Smith,00100000000029,3,6.0,1
29,Lawrence Smith,00100000000029,4,1.0,1
29,Lawrence Smith,00100000000029,5,4.0,1
29,Lawrence Smith,00100000000029,6,5.0,1
29,Lawrence Smith,00100000000029,7,4.0,1
30,Tammy Mcbride,00100000000030,1,4.0,1
30,Tammy Mcbride,00100000000030,2,9.0,1
30,Tammy Mcbride,00100000000030,3,6.0,1
30,Tammy Mcbride,00100000000030,4,5.0,1
30,Tammy Mcbride,00100000000030,5,5.0,1
30,Tammy Mcbride,00100000000030,6,7.0,1
30,Tammy Mcbride,00100000000030,7,10.0,1
31,Steven Allen,00100000000031,1,6.0,1
31,Steven Allen,00100000000031,2,7.0,1
31,Steven Allen,00100000000031,3,5.0,1
31,Steven Allen,00100000000031,4,4.0,1
31,Steven Allen,00100000000031,5,7.0,1
31,Steven Allen,00100000000031,6,4.0,1
31,Steven Allen,00100000000031,7,4.0,1
32,Stephen Escobar,00100000000032,1,7.0,1
32,Stephen Escobar,00100000000032,2,5.0,1
32,Stephen Escobar,00100000000032,3,3.0,1
32,Stephen Escobar,00100000000032,4,7.0,1
32,Stephen Escobar,00100000000032,5,3.0,1
32,Stephen Escobar,00100000000032,6,7.0,1
32,Stephen Escobar,00100000000032,7,4.0,1
33,Ryan Good,00100000000033,1,5.0,1
33,Ryan Good,00100000000033,2,6.0,1
33,Ryan Good,00100000000033,3,6.0,1
33,Ryan Good,00100000000033,4,4.0,1
33,Ryan Good,00100000000033,5,2.0,1
33,Ryan Good,00100000000033,6,9.0,1
33,Ryan Good,00100000000033,7,6.0,1
34,Adam Howard,00100000000034,1,6.0,1
34,Adam Howard,00100000000034,2,6.0,1
34,Adam Howard,00100000000034,3,3.0,1
34,Adam Howard,00100000000034,4,4.0,1
34,Adam Howard,00100000000034,5,7.0,1
34,Adam Howard,00100000000034,6,9.0,1
34,Adam Howard,00100000000034,7,6.0,1
35,Austin Waters,00100000000035,1,3.0,1
35,Austin Waters,00100000000035,2,4.0,1
35,Austin Waters,00100000000035,3,7.0,1
35,Austin Waters,00100000000035,4,4.0,1
35,Austin Waters,00100000000035,5,3.0,1
35,Austin Waters,00100000000035,6,5.0,1
35,Austin Waters,00100000000035,7,7.0,1
36,Brent Norton,00100000000036,1,4.0,1
36,Brent Norton,00100000000036,2,3.0,1
36,Brent Norton,00100000000036,3,5.0,1
36,Brent Norton,00100000000036,4,11.0,1
36,Brent Norton,00100000000036,5,2.0,1
36,Brent Norton,00100000000036,6,5.0,1
36,Brent Norton,00100000000036,7,5.0,1
37,Martin Walsh,00100000000037,1,1.0,1
37,Martin Walsh,00100000000037,2,5.0,1
37,Martin Walsh,00100000000037,3,2.0,1
37,Martin Walsh,00100000000037,4,3.0,1
37,Martin Walsh,00100000000037,5,6.0,1
37,Martin Walsh,00100000000037,6,10.0,1
37,Martin Walsh,00100000000037,7,4.0,1
id_siswa,nama,nrp,id_mapel,score,id_kota
38,Jeffrey Durham,00200000000001,1,6.0,2
38,Jeffrey Durham,00200000000001,2,6.0,2
38,Jeffrey Durham,00200000000001,3,2.0,2
38,Jeffrey Durham,00200000000001,4,5.0,2
38,Jeffrey Durham,00200000000001,5,5.0,2
38,Jeffrey Durham,00200000000001,6,6.0,2
38,Jeffrey Durham,00200000000001,7,5.0,2
39,Jacob Allen,00200000000002,1,3.0,2
39,Jacob Allen,00200000000002,2,3.0,2
39,Jacob Allen,00200000000002,3,3.0,2
39,Jacob Allen,00200000000002,4,6.0,2
39,Jacob Allen,00200000000002,5,10.0,2
39,Jacob Allen,00200000000002,6,6.0,2
39,Jacob Allen,00200000000002,7,3.0,2
40,Jason Lin,00200000000003,1,5.0,2
40,Jason Lin,00200000000003,2,2.0,2
40,Jason Lin,00200000000003,3,1.0,2
40,Jason Lin,00200000000003,4,4.0,2
40,Jason Lin,00200000000003,5,6.0,2
40,Jason Lin,00200000000003,6,2.0,2
40,Jason Lin,00200000000003,7,6.0,2
41,Steven Erickson,00200000000004,1,9.0,2
41,Steven Erickson,00200000000004,2,7.0,2
41,Steven Erickson,00200000000004,3,3.0,2
41,Steven Erickson,00200000000004,4,7.0,2
41,Steven Erickson,00200000000004,5,4.0,2
41,Steven Erickson,00200000000004,6,6.0,2
41,Steven Erickson,00200000000004,7,6.0,2
42,Danny Martinez,00200000000005,1,5.0,2
42,Danny Martinez,00200000000005,2,9.0,2
42,Danny Martinez,00200000000005,3,2.0,2
42,Danny Martinez,00200000000005,4,8.0,2
42,Danny Martinez,00200000000005,5,8.0,2
42,Danny Martinez,00200000000005,6,5.0,2
42,Danny Martinez,00200000000005,7,3.0,2
43,Kaitlin Richardson,00200000000006,1,4.0,2
43,Kaitlin Richardson,00200000000006,2,4.0,2
43,Kaitlin Richardson,00200000000006,3,2.0,2
43,Kaitlin Richardson,00200000000006,4,3.0,2
43,Kaitlin Richardson,00200000000006,5,2.0,2
43,Kaitlin Richardson,00200000000006,6,4.0,2
43,Kaitlin Richardson,00200000000006,7,7.0,2
44,Sydney Coleman,00200000000007,1,1.0,2
44,Sydney Coleman,00200000000007,2,5.0,2
44,Sydney Coleman,00200000000007,3,7.0,2
44,Sydney Coleman,00200000000007,4,6.0,2
44,Sydney Coleman,00200000000007,5,5.0,2
44,Sydney Coleman,00200000000007,6,4.0,2
44,Sydney Coleman,00200000000007,7,5.0,2
45,Danielle Hubbard,00200000000008,1,8.0,2
45,Danielle Hubbard,00200000000008,2,2.0,2
45,Danielle Hubbard,00200000000008,3,6.0,2
45,Danielle Hubbard,00200000000008,4,8.0,2
45,Danielle Hubbard,00200000000008,5,7.0,2
45,Danielle Hubbard,00200000000008,6,6.0,2
45,Danielle Hubbard,00200000000008,7,9.0,2
46,Jose Shaw,00200000000009,1,6.0,2
46,Jose Shaw,00200000000009,2,5.0,2
46,Jose Shaw,00200000000009,3,6.0,2
46,Jose Shaw,00200000000009,4,4.0,2
46,Jose Shaw,00200000000009,5,3.0,2
46,Jose Shaw,00200000000009,6,7.0,2
46,Jose Shaw,00200000000009,7,7.0,2
47,Brandon Williams,00200000000010,1,4.0,2
47,Brandon Williams,00200000000010,2,4.0,2
47,Brandon Williams,00200000000010,3,5.0,2
47,Brandon Williams,00200000000010,4,8.0,2
47,Brandon Williams,00200000000010,5,4.0,2
47,Brandon Williams,00200000000010,6,3.0,2
47,Brandon Williams,00200000000010,7,8.0,2
48,Madison Porter,00200000000011,1,2.0,2
48,Madison Porter,00200000000011,2,4.0,2
48,Madison Porter,00200000000011,3,4.0,2
48,Madison Porter,00200000000011,4,5.0,2
48,Madison Porter,00200000000011,5,4.0,2
48,Madison Porter,00200000000011,6,6.0,2
48,Madison Porter,00200000000011,7,4.0,2
49,David Berry,00200000000012,1,6.0,2
49,David Berry,00200000000012,2,3.0,2
49,David Berry,00200000000012,3,5.0,2
49,David Berry,00200000000012,4,3.0,2
49,David Berry,00200000000012,5,8.0,2
49,David Berry,00200000000012,6,2.0,2
49,David Berry,00200000000012,7,5.0,2
50,Rachel White,00200000000013,1,6.0,2
50,Rachel White,00200000000013,2,8.0,2
50,Rachel White,00200000000013,3,3.0,2
50,Rachel White,00200000000013,4,6.0,2
50,Rachel White,00200000000013,5,7.0,2
50,Rachel White,00200000000013,6,2.0,2
50,Rachel White,00200000000013,7,3.0,2
51,Joshua Savage,00200000000014,1,4.0,2
51,Joshua Savage,00200000000014,2,5.0,2
51,Joshua Savage,00200000000014,3,5.0,2
51,Joshua Savage,00200000000014,4,3.0,2
51,Joshua Savage,00200000000014,5,5.0,2
51,Joshua Savage,00200000000014,6,7.0,2
51,Joshua Savage,00200000000014,7,5.0,2
52,Casey Payne,00200000000015,1,4.0,2
52,Casey Payne,00200000000015,2,2.0,2
52,Casey Payne,00200000000015,3,3.0,2
52,Casey Payne,00200000000015,4,5.0,2
52,Casey Payne,00200000000015,5,3.0,2
52,Casey Payne,00200000000015,6,4.0,2
52,Casey Payne,00200000000015,7,6.0,2
53,John Jenkins,00200000000016,1,6.0,2
53,John Jenkins,00200000000016,2,6.0,2
53,John Jenkins,00200000000016,3,2.0,2
53,John Jenkins,00200000000016,4,4.0,2
53,John Jenkins,00200000000016,5,3.0,2
53,John Jenkins,00200000000016,6,5.0,2
53,John Jenkins,00200000000016,7,5.0,2
54,Morgan Padilla,00200000000017,1,8.0,2
54,Morgan Padilla,00200000000017,2,5.0,2
54,Morgan Padilla,00200000000017,3,6.0,2
54,Morgan Padilla,00200000000017,4,5.0,2
54,Morgan Padilla,00200000000017,5,1.0,2
54,Morgan Padilla,00200000000017,6,5.0,2
54,Morgan Padilla,00200000000017,7,6.0,2
55,Robert Morales,00200000000018,1,9.0,2
55,Robert Morales,00200000000018,2,3.0,2
55,Robert Morales,00200000000018,3,7.0,2
55,Robert Morales,00200000000018,4,6.0,2
55,Robert Morales,00200000000018,5,6.0,2
55,Robert Morales,00200000000018,6,4.0,2
55,Robert Morales,00200000000018,7,6.0,2
56,Jasmine Sloan,00200000000019,1,4.0,2
56,Jasmine Sloan,00200000000019,2,4.0,2
56,Jasmine Sloan,00200000000019,3,3.0,2
56,Jasmine Sloan,00200000000019,4,6.0,2
56,Jasmine Sloan,00200000000019,5,4.0,2
56,Jasmine Sloan,00200000000019,6,6.0,2
56,Jasmine Sloan,00200000000019,7,3.0,2
57,Timothy Small,00200000000020,1,7.0,2
57,Timothy Small,00200000000020,2,7.0,2
57,Timothy Small,00200000000020,3,3.0,2
57,Timothy Small,00200000000020,4,8.0,2
57,Timothy Small,00200000000020,5,5.0,2
57,Timothy Small,00200000000020,6,9.0,2
57,Timothy Small,00200000000020,7,3.0,2
58,Christine Smith,00200000000021,1,6.0,2
58,Christine Smith,00200000000021,2,7.0,2
58,Christine Smith,00200000000021,3,4.0,2
58,Christine Smith,00200000000021,4,3.0,2
58,Christine Smith,00200000000021,5,4.0,2
58,Christine Smith,00200000000021,6,3.0,2
58,Christine Smith,00200000000021,7,5.0,2
59,Erin Jefferson,00200000000022,1,8.0,2
59,Erin Jefferson,00200000000022,2,7.0,2
59,Erin Jefferson,00200000000022,3,6.0,2
59,Erin Jefferson,00200000000022,4,7.0,2
59,Erin Jefferson,00200000000022,5,4.0,2
59,Erin Jefferson,00200000000022,6,6.0,2
59,Erin Jefferson,00200000000022,7,2.0,2
60,John King,00200000000023,1,9.0,2
60,John King,00200000000023,2,11.0,2
60,John King,00200000000023,3,3.0,2
60,John King,00200000000023,4,3.0,2
60,John King,00200000000023,5,4.0,2
60,John King,00200000000023,6,7.0,2
60,John King,00200000000023,7,3.0,2
61,Shawn Graves,00200000000024,1,4.0,2
61,Shawn Graves,00200000000024,2,5.0,2
61,Shawn Graves,00200000000024,3,6.0,2
61,Shawn Graves,00200000000024,4,2.0,2
61,Shawn Graves,00200000000024,5,2.0,2
61,Shawn Graves,00200000000024,6,5.0,2
61,Shawn Graves,00200000000024,7,2.0,2
62,Tammy Burns,00200000000025,1,3.0,2
62,Tammy Burns,00200000000025,2,5.0,2
62,Tammy Burns,00200000000025,3,4.0,2
62,Tammy Burns,00200000000025,4,4.0,2
62,Tammy Burns,00200000000025,5,3.0,2
62,Tammy Burns,00200000000025,6,8.0,2
62,Tammy Burns,00200000000025,7,6.0,2
63,Brian Lawrence,00200000000026,1,4.0,2
63,Brian Lawrence,00200000000026,2,4.0,2
63,Brian Lawrence,00200000000026,3,4.0,2
63,Brian Lawrence,00200000000026,4,5.0,2
63,Brian Lawrence,00200000000026,5,2.0,2
63,Brian Lawrence,00200000000026,6,7.0,2
63,Brian Lawrence,00200000000026,7,4.0,2
64,Michael Cline,00200000000027,1,9.0,2
64,Michael Cline,00200000000027,2,5.0,2
64,Michael Cline,00200000000027,3,4.0,2
64,Michael Cline,00200000000027,4,5.0,2
64,Michael Cline,00200000000027,5,9.0,2
64,Michael Cline,00200000000027,6,4.0,2
64,Michael Cline,00200000000027,7,3.0,2
65,Laura Juarez,00200000000028,1,4.0,2
65,Laura Juarez,00200000000028,2,7.0,2
65,Laura Juarez,00200000000028,3,3.0,2
65,Laura Juarez,00200000000028,4,5.0,2
65,Laura Juarez,00200000000028,5,7.0,2
65,Laura Juarez,00200000000028,6,4.0,2
65,Laura Juarez,00200000000028,7,3.0,2
66,Anthony Howard,00200000000029,1,6.0,2
66,Anthony Howard,00200000000029,2,8.0,2
66,Anthony Howard,00200000000029,3,8.0,2
66,Anthony Howard,00200000000029,4,6.0,2
66,Anthony Howard,00200000000029,5,3.0,2
66,Anthony Howard,00200000000029,6,6.0,2
66,Anthony Howard,00200000000029,7,4.0,2
67,Ashley Clark MD,00200000000030,1,4.0,2
67,Ashley Clark MD,00200000000030,2,5.0,2
67,Ashley Clark MD,00200000000030,3,4.0,2
67,Ashley Clark MD,00200000000030,4,6.0,2
67,Ashley Clark MD,00200000000030,5,3.0,2
67,Ashley Clark MD,00200000000030,6,5.0,2
67,Ashley Clark MD,00200000000030,7,2.0,2
68,Peter Martinez,00200000000031,1,6.0,2
68,Peter Martinez,00200000000031,2,4.0,2
68,Peter Martinez,00200000000031,3,5.0,2
68,Peter Martinez,00200000000031,4,6.0,2
68,Peter Martinez,00200000000031,5,7.0,2
68,Peter Martinez,00200000000031,6,6.0,2
68,Peter Martinez,00200000000031,7,6.0,2
69,Kaitlyn Hicks,00200000000032,1,5.0,2
69,Kaitlyn Hicks,00200000000032,2,2.0,2
69,Kaitlyn Hicks,00200000000032,3,7.0,2
69,Kaitlyn Hicks,00200000000032,4,2.0,2
69,Kaitlyn Hicks,00200000000032,5,4.0,2
69,Kaitlyn Hicks,00200000000032,6,4.0,2
69,Kaitlyn Hicks,00200000000032,7,3.0,2
70,Valerie Sanchez,00200000000033,1,4.0,2
70,Valerie Sanchez,00200000000033,2,3.0,2
70,Valerie Sanchez,00200000000033,3,3.0,2
70,Valerie Sanchez,00200000000033,4,7.0,2
70,Valerie Sanchez,00200000000033,5,7.0,2
70,Valerie Sanchez,00200000000033,6,5.0,2
70,Valerie Sanchez,00200000000033,7,3.0,2
71,Stephen Graham,00200000000034,1,5.0,2
71,Stephen Graham,00200000000034,2,7.0,2
71,Stephen Graham,00200000000034,3,6.0,2
71,Stephen Graham,00200000000034,4,2.0,2
71,Stephen Graham,00200000000034,5,3.0,2
71,Stephen Graham,00200000000034,6,3.0,2
71,Stephen Graham,00200000000034,7,5.0,2
72,Grant Schwartz,00200000000035,1,4.0,2
72,Grant Schwartz,00200000000035,2,6.0,2
72,Grant Schwartz,00200000000035,3,4.0,2
72,Grant Schwartz,00200000000035,4,7.0,2
72,Grant Schwartz,00200000000035,5,5.0,2
72,Grant Schwartz,00200000000035,6,8.0,2
72,Grant Schwartz,00200000000035,7,4.0,2
73,Latasha Jacobs,00200000000036,1,5.0,2
73,Latasha Jacobs,00200000000036,2,6.0,2
73,Latasha Jacobs,00200000000036,3,3.0,2
73,Latasha Jacobs,00200000000036,4,5.0,2
73,Latasha Jacobs,00200000000036,5,7.0,2
73,Latasha Jacobs,00200000000036,6,7.0,2
73,Latasha Jacobs,00200000000036,7,5.0,2
74,Kathleen Ramirez,00200000000037,1,5.0,2
74,Kathleen Ramirez,00200000000037,2,8.0,2
74,Kathleen Ramirez,00200000000037,3,2.0,2
74,Kathleen Ramirez,00200000000037,4,1.0,2
74,Kathleen Ramirez,00200000000037,5,5.0,2
74,Kathleen Ramirez,00200000000037,6,2.0,2
74,Kathleen Ramirez,00200000000037,7,0.0,2
id_siswa,nama,nrp,id_mapel,score,id_kota
75,Katherine Edwards,00300000000001,1,2.0,3
75,Katherine Edwards,00300000000001,2,5.0,3
75,Katherine Edwards,00300000000001,3,4.0,3
75,Katherine Edwards,00300000000001,4,6.0,3
75,Katherine Edwards,00300000000001,5,5.0,3
75,Katherine Edwards,00300000000001,6,5.0,3
75,Katherine Edwards,00300000000001,7,8.0,3
76,Steven Garrison,00300000000002,1,4.0,3
76,Steven Garrison,00300000000002,2,7.0,3
76,Steven Garrison,00300000000002,3,6.0,3
76,Steven Garrison,00300000000002,4,3.0,3
76,Steven Garrison,00300000000002,5,3.0,3
76,Steven Garrison,00300000000002,6,6.0,3
76,Steven Garrison,00300000000002,7,5.0,3
77,Thomas Moyer,00300000000003,1,6.0,3
77,Thomas Moyer,00300000000003,2,4.0,3
77,Thomas Moyer,00300000000003,3,7.0,3
77,Thomas Moyer,00300000000003,4,3.0,3
77,Thomas Moyer,00300000000003,5,5.0,3
77,Thomas Moyer,00300000000003,6,7.0,3
77,Thomas Moyer,00300000000003,7,5.0,3
78,Dawn Stewart,00300000000004,1,8.0,3
78,Dawn Stewart,00300000000004,2,5.0,3
78,Dawn Stewart,00300000000004,3,4.0,3
78,Dawn Stewart,00300000000004,4,5.0,3
78,Dawn Stewart,00300000000004,5,9.0,3
78,Dawn Stewart,00300000000004,6,7.0,3
78,Dawn Stewart,00300000000004,7,6.0,3
79,Kenneth Chaney,00300000000005,1,5.0,3
79,Kenneth Chaney,00300000000005,2,4.0,3
79,Kenneth Chaney,00300000000005,3,2.0,3
79,Kenneth Chaney,00300000000005,4,6.0,3
79,Kenneth Chaney,00300000000005,5,5.0,3
79,Kenneth Chaney,00300000000005,6,6.0,3
79,Kenneth Chaney,00300000000005,7,6.0,3
80,William Myers,00300000000006,1,5.0,3
80,William Myers,00300000000006,2,10.0,3
80,William Myers,00300000000006,3,6.0,3
80,William Myers,00300000000006,4,5.0,3
80,William Myers,00300000000006,5,8.0,3
80,William Myers,00300000000006,6,4.0,3
80,William Myers,00300000000006,7,6.0,3
81,Shawn Moore,00300000000007,1,5.0,3
81,Shawn Moore,00300000000007,2,5.0,3
81,Shawn Moore,00300000000007,3,4.0,3
81,Shawn Moore,00300000000007,4,5.0,3
81,Shawn Moore,00300000000007,5,7.0,3
81,Shawn Moore,00300000000007,6,6.0,3
81,Shawn Moore,00300000000007,7,5.0,3
82,Anna Baker,00300000000008,1,3.0,3
82,Anna Baker,00300000000008,2,4.0,3
82,Anna Baker,00300000000008,3,4.0,3
82,Anna Baker,00300000000008,4,6.0,3
82,Anna Baker,00300000000008,5,7.0,3
82,Anna Baker,00300000000008,6,2.0,3
82,Anna Baker,00300000000008,7,6.0,3
